+2.1000000000000004e-04 +1.2100000000000003e-04 
+3.3100000000000008e-04 +1.3310000000000004e-04 
+4.6410000000000011e-04 +1.4641000000000006e-04 
+6.1051000000000020e-04 +1.6105100000000008e-04 
+7.7156100000000025e-04 +1.7715610000000010e-04 
+9.4871710000000032e-04 +1.9487171000000012e-04 
+1.1435888100000005e-03 +2.1435888100000014e-04 
+1.3579476910000005e-03 +2.3579476910000016e-04 
+1.5937424601000004e-03 +2.5937424601000017e-04 
+1.8531167061100005e-03 +2.8531167061100022e-04 
+2.1384283767210011e-03 +3.1384283767210024e-04 
+2.4522712143931016e-03 +3.4522712143931030e-04 
+2.7974983358324121e-03 +3.7974983358324136e-04 
+3.1772481694156535e-03 +4.1772481694156552e-04 
+3.5949729863572191e-03 +4.5949729863572212e-04 
+4.0544702849929408e-03 +5.0544702849929441e-04 
+4.5599173134922349e-03 +5.5599173134922395e-04 
+5.1159090448414588e-03 +6.1159090448414640e-04 
+5.7274999493256056e-03 +6.7274999493256108e-04 
+6.4002499442581667e-03 +7.4002499442581723e-04 
+7.1402749386839841e-03 +8.1402749386839902e-04 
+7.9543024325523827e-03 +8.9543024325523899e-04 
+8.8497326758076207e-03 +9.8497326758076298e-04 
+9.8347059433883839e-03 +1.0834705943388394e-03 
+1.0918176537727224e-02 +1.1918176537727234e-03 
+1.2109994191499949e-02 +1.3109994191499959e-03 
+1.3420993610649943e-02 +1.4420993610649957e-03 
+1.4863092971714939e-02 +1.5863092971714955e-03 
+1.6449402268886436e-02 +1.7449402268886452e-03 
+1.8194342495775079e-02 +1.9194342495775099e-03 
+2.0113776745352589e-02 +2.1113776745352612e-03 
+2.2225154419887854e-02 +2.3225154419887874e-03 
+2.4547669861876641e-02 +2.5547669861876662e-03 
+2.7102436848064303e-02 +2.8102436848064329e-03 
+2.9912680532870738e-02 +3.0912680532870765e-03 
+3.3003948586157815e-02 +3.4003948586157845e-03 
+3.6404343444773599e-02 +3.7404343444773632e-03 
+4.0144777789250963e-02 +4.1144777789250998e-03 
+4.4259255568176059e-02 +4.5259255568176103e-03 
+4.8785181124993672e-02 +4.9785181124993722e-03 
+5.3763699237493044e-02 +5.4763699237493097e-03 
+5.9240069161242352e-02 +6.0240069161242409e-03 
+6.5264076077366590e-02 +6.6264076077366656e-03 
+7.1890483685103257e-02 +7.2890483685103327e-03 
+7.9179532053613583e-02 +8.0179532053613663e-03 
+8.7197485258974944e-02 +8.8197485258975031e-03 
+9.6017233784872438e-02 +9.7017233784872543e-03 
+1.0571895716335970e-01 +1.0671895716335981e-02 
+1.1639085287969569e-01 +1.1739085287969580e-02 
+1.2812993816766527e-01 +1.2912993816766539e-02 
+1.4104293198443180e-01 +1.4204293198443194e-02 
+1.5524722518287498e-01 +1.5624722518287514e-02 
+1.7087194770116249e-01 +1.7187194770116265e-02 
+1.8805914247127875e-01 +1.8905914247127894e-02 
+2.0696505671840662e-01 +2.0796505671840684e-02 
+2.2776156239024731e-01 +2.2876156239024753e-02 
+2.5063771862927209e-01 +2.5163771862927231e-02 
+2.7580149049219932e-01 +2.7680149049219956e-02 
+3.0348163954141927e-01 +3.0448163954141953e-02 
+3.3392980349556123e-01 +3.3492980349556153e-02 
+3.6742278384511740e-01 +3.6842278384511769e-02 
+4.0426506222962916e-01 +4.0526506222962951e-02 
+4.4479156845259210e-01 +4.4579156845259246e-02 
+4.8937072529785136e-01 +4.9037072529785175e-02 
+5.3840779782763648e-01 +5.0000000000000003e-02 
+5.8840779782763653e-01 +5.0000000000000003e-02 
+6.3840779782763657e-01 +5.0000000000000003e-02 
+6.8840779782763661e-01 +5.0000000000000003e-02 
+7.3840779782763666e-01 +5.0000000000000003e-02 
+7.8840779782763670e-01 +5.0000000000000003e-02 
+8.3840779782763675e-01 +5.0000000000000003e-02 
+8.8840779782763679e-01 +5.0000000000000003e-02 
+9.3840779782763684e-01 +5.0000000000000003e-02 
+9.8840779782763688e-01 +5.0000000000000003e-02 
+1.0384077978276367e+00 +5.0000000000000003e-02 
+1.0884077978276365e+00 +5.0000000000000003e-02 
+1.1384077978276363e+00 +5.0000000000000003e-02 
+1.1884077978276362e+00 +5.0000000000000003e-02 
+1.2384077978276360e+00 +5.0000000000000003e-02 
+1.2884077978276358e+00 +5.0000000000000003e-02 
+1.3384077978276356e+00 +5.0000000000000003e-02 
+1.3884077978276355e+00 +5.0000000000000003e-02 
+1.4384077978276353e+00 +5.0000000000000003e-02 
+1.4884077978276351e+00 +5.0000000000000003e-02 
+1.5384077978276349e+00 +5.0000000000000003e-02 
+1.5884077978276347e+00 +5.0000000000000003e-02 
+1.6384077978276346e+00 +5.0000000000000003e-02 
+1.6884077978276344e+00 +5.0000000000000003e-02 
+1.7384077978276342e+00 +5.0000000000000003e-02 
+1.7884077978276340e+00 +5.0000000000000003e-02 
+1.8384077978276339e+00 +5.0000000000000003e-02 
+1.8884077978276337e+00 +5.0000000000000003e-02 
+1.9384077978276335e+00 +5.0000000000000003e-02 
+1.9884077978276333e+00 +5.0000000000000003e-02 
+2.0384077978276336e+00 +5.0000000000000003e-02 
+2.0884077978276339e+00 +5.0000000000000003e-02 
+2.1384077978276341e+00 +5.0000000000000003e-02 
+2.1884077978276344e+00 +5.0000000000000003e-02 
+2.2384077978276347e+00 +5.0000000000000003e-02 
+2.2884077978276349e+00 +5.0000000000000003e-02 
+2.3384077978276352e+00 +5.0000000000000003e-02 
+2.3884077978276355e+00 +5.0000000000000003e-02 
+2.4384077978276357e+00 +5.0000000000000003e-02 
+2.4884077978276360e+00 +5.0000000000000003e-02 
+2.5384077978276363e+00 +5.0000000000000003e-02 
+2.5884077978276365e+00 +5.0000000000000003e-02 
+2.6384077978276368e+00 +5.0000000000000003e-02 
+2.6884077978276371e+00 +5.0000000000000003e-02 
+2.7384077978276373e+00 +5.0000000000000003e-02 
+2.7884077978276376e+00 +5.0000000000000003e-02 
+2.8384077978276379e+00 +5.0000000000000003e-02 
+2.8884077978276381e+00 +5.0000000000000003e-02 
+2.9384077978276384e+00 +5.0000000000000003e-02 
+2.9884077978276387e+00 +5.0000000000000003e-02 
+3.0384077978276389e+00 +5.0000000000000003e-02 
+3.0884077978276392e+00 +5.0000000000000003e-02 
+3.1384077978276395e+00 +5.0000000000000003e-02 
+3.1884077978276397e+00 +5.0000000000000003e-02 
+3.2384077978276400e+00 +5.0000000000000003e-02 
+3.2884077978276403e+00 +5.0000000000000003e-02 
+3.3384077978276405e+00 +5.0000000000000003e-02 
+3.3884077978276408e+00 +5.0000000000000003e-02 
+3.4384077978276411e+00 +5.0000000000000003e-02 
+3.4884077978276413e+00 +5.0000000000000003e-02 
